Location,Crossnumber,Repeat_Pollination_Date
Arusha,NM201807_(136619C2/136460),2018-08-02
Arusha,NM201807_(136620C2/136357),2018-07-19
Arusha,NM201807_(136632C2/136357),2018-07-23
Arusha,NM201807_(136661C2/136460),2018-07-19
Arusha,NM201807_(136673C2/136460),2018-07-27
Arusha,NM201807_(136675C2/136357),2018-07-25
Arusha,NM201807_(136713C2/136357),2018-07-31
Arusha,NM201808_(136454C2/136706),2018-08-21
Arusha,NM201808_(136497C2/136460),2018-08-16
Arusha,NM201808_(136540C2/136510),2018-08-08
Arusha,NM201808_(136601C2/136706),2018-08-17
Arusha,NM201809_(136293C2/136357),2018-09-17
Arusha,NM201809_(136301C2/136295),2018-10-02
Arusha,NM201809_(136330C2/136283),2018-09-20
Arusha,NM201809_(136371C2/136328),2018-09-13
Arusha,NM201809_(136395C2/136460),2018-09-12
Arusha,NM201809_(136417C2/136328),2018-09-13
Arusha,NM201809_(136423C2/136653),2018-09-05
Arusha,NM201809_(136443C2/136510),2018-09-28
Arusha,NM201809_(136444C2/136295),2018-10-01
Arusha,NM201809_(136463C2/136490),2018-09-07
Arusha,NM201809_(136487C2/136510),2018-09-13
Arusha,NM201809_(136506C2/136599),2018-09-13
Arusha,NM201809_(136525C2/136357),2018-10-05
Arusha,NM201809_(136617C2/136460),2018-09-26
Arusha,NM201809_(136622C2/136510),2018-10-04
Arusha,NM201809_(136636C2/136706),2018-09-19
Arusha,NM201809_(136686C2/136510),2018-09-27
Arusha,NM201809_(136689C2/136295),2018-09-26
Arusha,NM201809_(153086C1/161582),2018-09-26
Arusha,NM201810_(136294C2/161548),2018-10-10
Arusha,NM201810_(136300C2/136460),2018-10-02
Arusha,NM201810_(136309C2/136460),2018-10-10
Arusha,NM201810_(136311C2/136510),2018-10-08
Arusha,NM201810_(136316C2/136460),2018-10-12
Arusha,NM201810_(136319C2/136357),2018-10-22
Arusha,NM201810_(136325C2/136460),2018-10-30
Arusha,NM201810_(136442C2/136510),2018-10-03
Arusha,NM201810_(136451C2/136510),2018-10-05
Arusha,NM201810_(136464C2/136295),2018-10-19
Arusha,NM201810_(136473C2/136460),2018-10-12
Arusha,NM201810_(136482C2/136510),2018-10-31
Arusha,NM201810_(136493C2/136460),2018-10-05
Arusha,NM201810_(136498C2/136460),2018-10-12
Arusha,NM201810_(136507C2/161548),2018-10-12
Arusha,NM201810_(136516C2/136460),2018-10-12
Arusha,NM201810_(136545C2/136460),2018-10-23
Arusha,NM201810_(136582C2/136460),2018-10-08
Arusha,NM201810_(136588C2/136460),2018-10-15
Arusha,NM201810_(136589C2/136706),2018-11-01
Arusha,NM201810_(136663C2/136460),2018-10-08
Arusha,NM201810_(136668C2/136295),2018-10-25
Arusha,NM201810_(136669C2/136357),2018-10-22
Arusha,NM201810_(136679C2/136653),2018-10-25
Arusha,NM201810_(136680C2/136295),2018-10-22
Arusha,NM201810_(136694C2/136510),2018-10-29
Arusha,NM201810_(136700C2/136357),2018-10-22
Arusha,NM201810_(136703C2/136510),2018-10-02
Arusha,NM201810_(136716C2/161548),2018-10-12
Arusha,NM201811_(136284C2/136357),2018-11-07
Arusha,NM201811_(136289C2/136295),2018-11-08
Arusha,NM201811_(136298C2/136295),2018-11-12
Arusha,NM201811_(136340C2/136357),2018-11-24
Arusha,NM201811_(136346C2/136357),2018-11-09
Arusha,NM201811_(136354C2/136295),2018-11-12
Arusha,NM201811_(136367C2/136357),2018-11-08
Arusha,NM201811_(136381C3/136283),2018-11-12
Arusha,NM201811_(136390C2/136653),2018-11-15
Arusha,NM201811_(136397C2/136653),2018-11-19
Arusha,NM201811_(136406C2/136706),2018-11-23
Arusha,NM201811_(136429C2/161503),2018-11-30
Arusha,NM201811_(136433C2/136653),2018-11-13
Arusha,NM201811_(136434C2/136357),2018-11-09
Arusha,NM201811_(136476C2/136392),2018-11-22
Arusha,NM201811_(136484C2/136357),2018-11-26
Arusha,NM201811_(136524C2/161584),2018-11-28
Arusha,NM201811_(136527C2/136510),2018-11-07
Arusha,NM201811_(136529C2/136510),2018-11-15
Arusha,NM201811_(136554C2/136460),2018-11-23
Arusha,NM201811_(136581C2/136460),2018-11-07
Arusha,NM201811_(136627C2/136460),2018-11-08
Arusha,NM201811_(136628C2/136460),2018-11-06
Arusha,NM201811_(136659C2/161503),2018-11-30
Arusha,NM201811_(136662C2/136706),2018-11-15
Arusha,NM201811_(136704C2/136510),2018-11-26
Arusha,NM201811_(136712C2/136295),2018-11-08
Arusha,NM201811_(136719C2/136460),2018-11-08
Arusha,NM201811_(136722C2/136357),2018-11-08
Arusha,NM201811_(152445C1/161584),2018-11-30
Arusha,NM201811_(152936C1/161503),2018-11-13
Arusha,NM201812_(136304C2/136510),2019-01-03
Arusha,NM201812_(136363C2/161503),2018-12-14
Arusha,NM201812_(136365C2/161584),2018-12-21
Arusha,NM201812_(136375C2/161584),2018-12-10
Arusha,NM201812_(136393C2/161503),2018-12-10
Arusha,NM201812_(136402C2/161582),2018-12-06
Arusha,NM201812_(136447C2/161503),2018-12-07
Arusha,NM201812_(136501C2/161584),2018-12-03
Arusha,NM201812_(136530C2/136706),2018-12-18
Arusha,NM201812_(136536C2/136653),2018-12-12
Arusha,NM201812_(136560C2/136706),2018-12-19
Arusha,NM201812_(136598C2/161503),2018-12-14
Arusha,NM201812_(136644C2/161503),2018-12-18
Arusha,NM201812_(136652C2/161584),2018-12-21
Arusha,NM201812_(136681C2/161584),2018-12-07
Arusha,NM201812_(152405C1/161554),2018-12-17
Arusha,NM201812_(152650C1/161503),2018-12-24
Arusha,NM201812_(153012C1/161584),2018-12-14
Arusha,NM201812_(153130C1/161584),2018-12-03
Arusha,NM201901_(136290C2/161584),2019-01-11
Arusha,NM201901_(136299C2/161584),2019-01-15
Arusha,NM201901_(136310C2/136706),2019-01-09
Arusha,NM201901_(136332C2/136295),2019-01-09
Arusha,NM201901_(136353C2/161503),2019-01-25
Arusha,NM201901_(136382C2/161503),2019-01-25
Arusha,NM201901_(136408C2/161503),2019-01-25
Arusha,NM201901_(136425C2/161503),2019-01-22
Arusha,NM201901_(136426C2/161584),2019-01-08
Arusha,NM201901_(136445C2/161584),2019-02-05
Arusha,NM201901_(136481C2/161503),2019-01-24
Arusha,NM201901_(136502C2/161503),2019-01-28
Arusha,NM201901_(136578C2/161503),2019-01-15
Arusha,NM201901_(136586C2/161584),2019-01-17
Arusha,NM201901_(136597C2/136392),2019-01-03
Arusha,NM201901_(136602C2/161477),2019-01-04
Arusha,NM201901_(136672C2/161503),2019-01-23
Arusha,NM201901_(136698C2/161506),2019-01-28
Arusha,NM201901_(152720C1/161503),2019-01-31
Arusha,NM201901_(152744C1/161506),2019-01-28
Arusha,NM201901_(152851C1/161564),2019-01-28
Arusha,NM201901_(152942C1/161461),2019-01-28
Arusha,NM201901_(153009C1/161584),2019-01-25
Arusha,NM201901_(153017C1/161564),2019-01-28
Arusha,NM201901_(153020C1/161548),2019-01-29
Arusha,NM201901_(153119C1/161506),2019-01-28
Arusha,NM201901_(153120C1/161503),2019-01-17
Arusha,NM201901_(153162C1/161503),2019-01-22
Arusha,NM201902_(136320C2/161541),2019-02-25
Arusha,NM201902_(136350C2/161541),2019-02-22
Arusha,NM201902_(136478C3/161541),2019-02-25
Arusha,NM201902_(136485C2/161503),2019-02-12
Arusha,NM201902_(136499C2/161584),2019-02-12
Arusha,NM201902_(136596C2/161582),2019-02-21
Arusha,NM201902_(136635C2/136677),2019-03-01
Arusha,NM201902_(136705C2/161582),2019-02-19
Arusha,NM201902_(136714C2/161582),2019-02-19
Arusha,NM201902_(152370C1/161582),2019-02-20
Arusha,NM201902_(152411C1/161582),2019-02-20
Arusha,NM201902_(152416C1/161582),2019-02-19
Arusha,NM201902_(152427C1/161477),2019-02-20
Arusha,NM201902_(152443C1/161477),2019-02-26
Arusha,NM201902_(152457C1/161477),2019-02-19
Arusha,NM201902_(152459C1/161582),2019-02-19
Arusha,NM201902_(152491C1/161503),2019-02-05
Arusha,NM201902_(152499C1/161582),2019-02-15
Arusha,NM201902_(152513C1/161582),2019-02-14
Arusha,NM201902_(152530C1/161477),2019-03-01
Arusha,NM201902_(152544C1/161541),2019-03-01
Arusha,NM201902_(152694C1/161477),2019-03-01
Arusha,NM201902_(152708C1/136604),2019-02-28
Arusha,NM201902_(152727C1/161584),2019-02-07
Arusha,NM201902_(152746C1/161541),2019-02-20
Arusha,NM201902_(152754C1/161477),2019-03-01
Arusha,NM201902_(152756C1/136677),2019-03-01
Arusha,NM201902_(152798C1/161477),2019-03-01
Arusha,NM201902_(152842C1/161541),2019-02-20
Arusha,NM201902_(152850C1/161477),2019-02-14
Arusha,NM201902_(152854C1/161541),2019-02-19
Arusha,NM201902_(152862C1/161541),2019-02-27
Arusha,NM201902_(152961C2/136653),2019-02-27
