.id,Crossnumber,Location,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Embryo_Rescue_Date,Good_Seeds,Number_of_Embryo_Rescued,Germination_Date,Number_of_Embryo_Germinating
1,SE201902_(162730C1/132470),Sendusu,Nfuuka_14_Phase1_R13C17,Nfuuka,1,17-7197-2_R10C9_plot144,7197-2,2019-02-12,,,,,,,,
1,SE201902_(162741C1/132612),Sendusu,Entukura_14_Phase1_R5C2,Entukura,1,17-8075-7_R2C11_plot26,8075-7,2019-02-12,,,,,,,,
1,SE201902_(162761C1/132425),Sendusu,Nfuuka_14_Phase1_R14C12,Nfuuka,1,17-9128-3_R5C1_plot61,9128-3,2018-10-18,,,,,,,,
1,SE201902_(162781C1/132612),Sendusu,Nfuuka_14_Phase1_R13C2,Nfuuka,1,17-8075-7_R2C11_plot26,8075-7,2019-02-16,,,,,,,,
1,SE201902_(162782C1/132393),Sendusu,Nfuuka_14_Phase1_R15C3,Nfuuka,1,17-8075-7_R2C8_plot23,8075-7,2019-02-09,,,,,,,,
1,SE201902_(162791C1/132684),Sendusu,Enzirabahima_14_Phase1_R27C13,ITC1354,1,17-7197-2_R11C5_plot155,7197-2,2019-02-06,,,,,,,,
1,SE201902_(162834C1/132494),Sendusu,Kabucuragye_14_Phase1_R21C3,Kabucuragye,1,17-7197-2_R11C8_plot158,7197-2,2019-02-20,,,,,,,,
1,SE201902_(162850C1/132552),Sendusu,Tereza_14_Phase1_R16C5,Tereza,1,17-7197-2_R10C3_plot138,7197-2,2019-02-16,,,,,,,,
1,SE201902_(162856C1/132707),Sendusu,Nfuuka_14_Phase1_R13C15,Nfuuka,1,17-8075-7_R3C4_plot34,8075-7,2019-02-20,,,,,,,,
1,SE201902_(162869C1/132552),Sendusu,Enzirabahima_14_Phase1_R26C5,ITC1354,1,17-7197-2_R10C3_plot138,7197-2,2019-02-23,,,,,,,,
1,SE201902_(162881C1/132401),Sendusu,Nfuuka_14_Phase1_R14C15,Nfuuka,1,17-9128-3_R4C2_plot47,9128-3,2019-02-19,,,,,,,,
1,SE201902_(162883C1/132696),Sendusu,Nfuuka_14_Phase1_R14C2,Nfuuka,1,17-8075-7_R1C3_plot3,8075-7,2019-02-06,,,,,,,,
1,SE201902_(162885C1/132374),Sendusu,Entukura_14_Phase1_R5C10,Entukura,1,17-SH3217_R13C4_plot184,SH3217,2019-02-21,,,,,,,,
1,SE201902_(162888C1/132393),Sendusu,Nakyetengu_14_Phase1_R8C3,IITA-Nakyetengu,1,17-8075-7_R2C8_plot23,8075-7,2019-02-12,,,,,,,,
1,SE201902_(162898C1/132624),Sendusu,Enzirabahima_14_Phase1_R25C8,ITC1354,1,17-5265-1_R8C3_plot108,TMB2X5265-1,2019-02-07,,,,,,,,
1,SE201902_(162930C1/132707),Sendusu,Kabucuragye_14_Phase1_R20C8,Kabucuragye,1,17-8075-7_R3C4_plot34,8075-7,2019-02-20,,,,,,,,
1,SE201902_(162941C1/132680),Sendusu,Entukura_14_Phase2_R5C6,Entukura,1,17-SH3362_R19C8_plot278,SH3362,2019-02-11,,,,,,,,
1,SE201902_(162977C1/132452),Sendusu,Nakyetengu_14_Phase2_R9C8,IITA-Nakyetengu,1,17-9128-3_R4C7_plot52,9128-3,2019-02-11,,,,,,,,
1,SE201902_(162996C1/132640),Sendusu,Entukura_14_Phase2_R5C7,Entukura,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-02-25,,,,,,,,
1,SE201902_(163060C1/132680),Sendusu,Enzirabahima_14_Phase2_R26C2,ITC1354,1,17-SH3362_R19C8_plot278,SH3362,2019-02-09,,,,,,,,
1,SE201902_(163068C1/132707),Sendusu,Tereza_14_Phase2_R18C5,Tereza,1,17-8075-7_R3C4_plot34,8075-7,2019-02-26,,,,,,,,
