Location,Crossnumber,FemalePlotName,Mother,Cycle,MalePlotName,Father,First_Pollination_Date,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Number_of_Embryo_Rescued,Embryo_Rescue_Date,Germination_after_2_Weeks_Date,Active_after_2_Weeks,Germination_after_8_Weeks_Date,Active_after_8_Weeks,Days_to_Maturity,Days_in_ripening_shed
Sendusu,SE201901_(162620C1/132625),Nakasabira_14_Phase1_R32C14,Nakasabira,1,17-SH3362_R19C7_plot277,SH3362,2018-10-19,,,,,,,,,,,,
Sendusu,SE201901_(162627C1/132640),Enzirabahima_14_Phase1_R26C11,ITC1354,1,17-5265-1_R9C3_plot123,TMB2X5265-1,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162672C1/132379),Nfuuka_14_Phase1_R14C10,Nfuuka,1,17-9128-3_R4C4_plot49,9128-3,2019-01-11,,,,,,,,,,,,
Sendusu,SE201901_(162685C1/132709),Nakasabira_14_Phase1_R31C3,Nakasabira,1,17-SH3217_R14C1_plot196,SH3217,2018-10-19,,,,,,,,,,,,
Sendusu,SE201901_(162701C1/132379),Entukura_14_Phase1_R6C6,Entukura,1,17-9128-3_R4C4_plot49,9128-3,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162726C1/132433),Tereza_14_Phase1_R18C2,Tereza,1,17-5265-1_R8C8_plot113,TMB2X5265-1,2019-01-18,,,,,,,,,,,,
Sendusu,SE201901_(162727C1/132566),Entukura_14_Phase1_R4C18,Entukura,1,17-8075-7_R1C2_plot2,8075-7,2018-10-19,,,,,,,,,,,,
Sendusu,SE201901_(162755C1/132649),Enzirabahima_14_Phase1_R25C5,ITC1354,1,17-9128-3_R4C11_plot56,9128-3,2018-11-14,,,,,,,,,,,,
Sendusu,SE201901_(162758C1/132709),Tereza_14_Phase1_R17C17,Tereza,1,17-SH3217_R14C1_plot196,SH3217,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162761C1/132425),Nfuuka_14_Phase1_R14C12,Nfuuka,1,17-9128-3_R5C1_plot61,9128-3,2018-10-18,,,,,,,,,,,,
Sendusu,SE201901_(162776C1/132696),Entukura_14_Phase1_R4C2,Entukura,1,17-8075-7_R1C3_plot3,8075-7,2019-01-05,,,,,,,,,,,,
Sendusu,SE201901_(162786C1/132635),Enzirabahima_14_Phase1_R27C17,ITC1354,1,17-7197-2_R12C2_plot167,7197-2,2019-01-14,,,,,,,,,,,,
Sendusu,SE201901_(162799C1/132348),Nakasabira_14_Phase1_R33C6,Nakasabira,1,17-7197-2_R11C3_plot153,7197-2,2019-01-15,,,,,,,,,,,,
Sendusu,SE201901_(162814C1/132379),Tereza_14_Phase1_R18C11,Tereza,1,17-9128-3_R4C4_plot49,9128-3,2019-01-17,,,,,,,,,,,,
Sendusu,SE201901_(162861C1/132505),Nakasabira_14_Phase1_R32C10,Nakasabira,1,17-SH3217_R13C3_plot183,SH3217,2018-11-14,2019-02-11,,,,,,,,,,89,
